price,rating,has_5g,num_cores,processor_speed,battery_mAh,ram_capacity,internal_memory,screen_size,refresh_rate,res_width,res_height,num_rear_cameras,num_front_cameras,rear_camera_mp,value_for_money,performance_index,display_quality
38999,73,0,6,2.6,3110.0,4,64,6.1,60.0,828,1656,2.0,1.0,62.0,0.34131644401138495,0.6656,82270.08
109900,77,0,6,2.6,3500.0,4,64,6.5,60.0,1242,2688,3.0,1.0,62.0,0.12147406733393995,0.6656,200309.76
51999,74,1,6,3.1,3500.0,4,64,6.1,60.0,1170,2340,2.0,1.0,62.0,0.2567357064558934,0.7936,164268.0
40999,74,1,6,3.1,3500.0,4,64,5.4,60.0,1080,2160,2.0,1.0,62.0,0.32561769799263396,0.7936,139968.0
119900,80,1,6,3.1,3500.0,56,256,6.1,60.0,1170,2340,3.0,1.0,62.0,0.3148457047539616,44.4416,164268.0
62999,79,1,6,3.2,3240.0,4,128,6.1,60.0,1170,2340,2.0,1.0,62.0,0.31308433467197894,1.6384,164268.0
64900,79,1,6,3.2,2438.0,4,128,5.4,60.0,1080,2160,2.0,1.0,62.0,0.3026779661016949,1.6384,139968.0
119900,83,1,6,3.2,3095.0,6,128,6.1,120.0,1170,2340,3.0,1.0,62.0,0.1660508757297748,2.4576000000000002,328536.0
129900,84,1,6,3.2,4352.0,6,128,6.7,120.0,1284,2568,3.0,1.0,62.0,0.15423556581986145,2.4576000000000002,395677.44
65999,81,1,6,3.2,3279.0,6,128,6.1,60.0,1170,2340,2.0,1.0,62.0,0.30194245367354056,2.4576000000000002,164268.0
69990,70,0,6,3.1,3500.0,6,128,5.4,60.0,1080,2160,2.0,1.0,62.0,0.28504072010287185,2.3808000000000002,139968.0
74999,82,1,6,3.2,4325.0,6,128,6.7,60.0,1284,2568,2.0,1.0,62.0,0.2671035613808184,2.4576000000000002,197838.72
119990,75,1,6,3.1,3200.0,6,128,6.1,120.0,1179,2358,3.0,1.0,67.0,0.17018084840403366,2.3808000000000002,333609.84
129990,76,1,6,3.1,4323.0,6,128,6.7,120.0,1290,2580,3.0,1.0,67.0,0.1579529194553427,2.3808000000000002,399384.0
82990,72,0,6,3.1,3285.0,6,128,6.1,60.0,1170,2340,2.0,1.0,67.0,0.2461561633931799,2.3808000000000002,164268.0
84990,75,1,6,3.1,4532.0,8,128,6.7,120.0,1284,2568,2.0,1.0,62.0,0.23830097658548066,3.1744,395677.44
130990,75,1,6,3.1,4532.0,8,128,6.1,120.0,1170,2340,3.0,1.0,67.0,0.15843346820367968,3.1744,328536.0
142990,79,1,6,3.1,4352.0,8,256,6.7,120.0,1284,2568,3.0,1.0,67.0,0.23452828869151687,6.3488,395677.44
149900,79,1,6,3.1,4700.0,8,128,6.7,120.0,1290,2580,3.0,1.0,67.0,0.13855903935957306,3.1744,399384.0
52990,60,0,6,2.4,2230.0,3,32,4.7,60.0,750,1500,1.0,1.0,62.0,0.1872617474995282,0.23039999999999997,67500.0
29990,61,0,6,2.6,2050.0,3,64,4.7,60.0,750,1500,1.0,1.0,62.0,0.43697899299766596,0.49920000000000003,67500.0
39900,63,0,6,2.6,1821.0,3,64,4.7,60.0,750,1500,1.0,1.0,62.0,0.3278721804511278,0.49920000000000003,67500.0
43900,60,1,6,3.2,1821.0,4,64,4.7,60.0,750,1500,1.0,1.0,62.0,0.3002756264236902,0.8192,67500.0
49990,60,1,6,3.2,1821.0,4,64,6.1,60.0,750,1580,1.0,1.0,62.0,0.26369473894778955,0.8192,71100.0
71999,60,0,6,3.1,3060.0,4,64,6.1,60.0,828,1656,2.0,1.0,62.0,0.18480812233503244,0.7936,82270.08
